Year,Country_Pair,Military_Ratio,Nuclear_Weapons,India_Nuclear,Historical_Wars,Border_Length_km,Terrain_Difficulty,Kashmir_Tension,LAC_Tension,Cyber_Attack_Risk,Trade_Dependency,Diplomatic_Relations,Land_Attack_Risk,Naval_Attack_Risk,Compromise_Chance,Conflict_Risk_Score,Real_Event,Risk_Label
1947,India-China,1.2,0,0,0,3488,9,0.0,1.0,0,0.0,5,2,1,70,28,Both newly independent - early neutrality,LOW
1948,India-China,1.2,0,0,0,3488,9,0.0,1.0,0,0.0,5,2,1,70,28,Hindi-Chini bhai bhai era begins,LOW
1949,India-China,1.2,0,0,0,3488,9,0.0,1.0,0,0.0,6,2,1,70,25,PRC founded - India first to recognize,LOW
1950,India-China,1.2,0,0,0,3488,9,0.0,2.0,0,0.0,5,3,1,60,32,China occupies Tibet - India concerned,LOW
1951,India-China,1.2,0,0,0,3488,9,0.0,2.0,0,0.0,5,3,1,60,33,Tibet formally annexed,LOW
1952,India-China,1.2,0,0,0,3488,9,0.0,2.0,0,0.0,5,3,1,60,32,Panchsheel discussions begin,LOW
1953,India-China,1.2,0,0,0,3488,9,0.0,2.0,0,0.0,6,3,1,70,28,Panchsheel - 5 principles of coexistence,LOW
1954,India-China,1.2,0,0,0,3488,9,0.0,2.0,0,0.0,7,2,1,80,25,Panchsheel Agreement signed - peak friendship,LOW
1955,India-China,0.9,0,0,0,3488,9,0.0,2.0,0,0.0,7,2,1,80,24,Bandung Conference - Nehru-Zhou Enlai,LOW
1956,India-China,0.9,0,0,0,3488,9,0.0,3.0,0,0.0,6,3,1,70,32,Border disputes emerging,LOW
1957,India-China,0.9,0,0,0,3488,9,0.0,4.0,0,0.0,5,4,1,60,40,China secretly builds road in Aksai Chin,LOW
1958,India-China,0.9,0,0,0,3488,9,0.0,5.0,0,0.0,4,5,1,50,48,India discovers Aksai Chin road - shock,LOW
1959,India-China,0.9,0,0,0,3488,9,0.0,7.0,0,0.0,3,7,1,40,68,Tibet uprising - Dalai Lama flees to India,MEDIUM
1960,India-China,0.9,0,0,0,3488,9,0.0,7.0,0,0.0,3,7,1,30,70,Border talks fail completely,MEDIUM
1961,India-China,0.9,0,0,0,3488,9,0.0,8.0,0,0.0,2,8,1,20,78,Forward Policy - India sends patrols,HIGH
1962,India-China,0.5,0,0,1,3488,9,0.0,10.0,0,0.0,1,10,2,10,97,1962 WAR - India badly defeated,HIGH
1963,India-China,0.5,0,0,1,3488,9,0.0,8.0,0,0.0,2,7,2,20,80,Post-war - diplomatic relations suspended,HIGH
1964,India-China,0.5,0,0,1,3488,9,0.0,7.0,0,0.0,2,6,2,20,72,China nuclear test - India alarmed,HIGH
1965,India-China,0.5,10,0,1,3488,9,0.0,7.0,0,0.0,2,6,2,20,70,China threatens India during 65 Pak war,MEDIUM
1966,India-China,0.5,20,0,1,3488,9,0.0,6.0,0,0.0,2,5,2,30,65,Cultural revolution - China inward focus,MEDIUM
1967,India-China,0.5,30,0,1,3488,9,0.0,7.0,0,0.0,2,7,2,30,68,Nathu La and Cho La border clashes,MEDIUM
1968,India-China,0.5,40,0,1,3488,9,0.0,6.0,0,0.0,2,5,2,30,63,Cultural revolution continues,MEDIUM
1969,India-China,0.5,50,0,1,3488,9,0.0,5.0,0,0.0,2,5,2,30,58,Relations strained,MEDIUM
1970,India-China,0.5,60,0,1,3488,9,0.0,5.0,0,0.0,3,4,2,40,52,Slight improvement,MEDIUM
1971,India-China,0.5,70,0,1,3488,9,0.0,6.0,0,0.0,2,5,3,30,62,China supports Pakistan in 1971 war,MEDIUM
1972,India-China,0.5,80,0,1,3488,9,0.0,5.0,0,0.0,3,4,2,40,52,Nixon visits China - new global dynamics,MEDIUM
1973,India-China,0.5,90,0,1,3488,9,0.0,5.0,0,0.0,3,4,2,40,50,Gradual normalization,LOW
1974,India-China,0.5,100,0,1,3488,9,0.0,5.0,0,0.0,3,4,2,40,52,India nuclear test - China strongly protests,MEDIUM
1975,India-China,0.45,110,8,1,3488,9,0.0,4.0,0,0.0,4,4,2,50,46,Ambassador restored after 15 years,LOW
1976,India-China,0.45,120,16,1,3488,9,0.0,4.0,0,0.0,4,4,2,50,45,Normalization continues slowly,LOW
1977,India-China,0.45,130,24,1,3488,9,0.0,4.0,0,0.0,4,4,2,50,45,Talks,LOW
1978,India-China,0.45,140,32,1,3488,9,0.0,4.0,0,0.0,4,4,2,50,46,Vajpayee visits China - first senior visit,LOW
1979,India-China,0.45,150,40,1,3488,9,0.0,5.0,0,0.0,3,5,2,40,52,Sino-Vietnamese war - India neutral,MEDIUM
1980,India-China,0.45,160,48,1,3488,9,0.0,5.0,0,0.0,3,5,2,40,50,Border talks formally begin,LOW
1981,India-China,0.45,170,56,1,3488,9,0.0,4.0,0,0.0,4,4,2,50,47,Border talks round 1,LOW
1982,India-China,0.45,180,64,1,3488,9,0.0,4.0,0,0.0,4,4,2,50,46,Border talks round 2,LOW
1983,India-China,0.45,190,72,1,3488,9,0.0,4.0,0,0.0,4,4,2,50,46,Border talks continue,LOW
1984,India-China,0.45,200,80,1,3488,9,0.0,5.0,0,0.0,3,5,2,40,52,Sumdorong Chu incident,MEDIUM
1985,India-China,0.4,210,88,1,3488,9,0.0,5.0,0,0.0,3,5,2,40,51,Continued tension,MEDIUM
1986,India-China,0.4,220,96,1,3488,9,0.0,6.0,0,0.0,3,6,2,40,62,Sumdorong Chu standoff escalates,MEDIUM
1987,India-China,0.4,230,104,1,3488,9,0.0,6.0,0,0.0,3,6,2,40,63,Wangdung standoff - near conflict,MEDIUM
