Year,Country_Pair,Military_Ratio,Nuclear_Weapons,Historical_Wars,Border_Length_km,Terrain_Difficulty,Kashmir_Tension,LAC_Tension,Cyber_Attack_Risk,Trade_Dependency,Diplomatic_Relations,Land_Attack_Risk,Naval_Attack_Risk,Compromise_Chance,Conflict_Risk_Score,India_Conflict_Events,India_Deaths,Enemy_Conflict_Events,Enemy_Deaths
2005,India-Pakistan,9.5,100,4,3323,8,6.2,0.0,4.0,1.0,3.9,8.0,3.0,20.0,72.4,910,2015,48,168
2005,India-China,0.27,200,1,3488,9,0.0,5.8,5.0,5.0,3.6,6.2,5.0,45.0,45.4,910,2015,2,12
2006,India-Pakistan,9.6,103,4,3323,8,8.5,0.0,4.0,1.0,3.0,7.8,3.0,19.7,76.7,932,2155,46,427
2006,India-China,0.268,208,1,3488,9,0.0,6.1,5.0,5.1,6.2,5.0,5.2,45.0,45.5,932,2155,0,0
2007,India-Pakistan,9.7,106,4,3323,8,7.9,0.0,4.0,1.0,3.3,7.1,3.0,19.4,76.4,727,1775,211,1380
2007,India-China,0.266,216,1,3488,9,0.0,4.5,5.0,5.2,5.6,6.2,5.3,45.0,47.7,727,1775,1,0
2008,India-Pakistan,9.8,109,4,3323,8,7.7,0.0,4.0,1.0,3.9,7.3,3.0,19.1,78.6,680,1863,664,4621
2008,India-China,0.264,224,1,3488,9,0.0,4.9,5.0,5.3,6.3,6.7,5.5,45.0,42.4,680,1863,16,87
2009,India-Pakistan,9.9,112,4,3323,8,7.7,0.0,4.0,1.0,2.1,6.2,3.0,18.8,78.5,843,1621,884,7512
2009,India-China,0.262,232,1,3488,9,0.0,5.8,5.0,5.4,3.9,6.5,5.6,45.0,45.7,843,1621,5,189
2010,India-Pakistan,10.0,115,4,3323,8,7.9,0.0,4.0,1.0,3.3,8.0,3.0,18.5,79.8,780,1633,962,7251
2010,India-China,0.26,240,1,3488,9,0.0,6.6,5.0,5.5,4.0,6.4,5.8,45.0,47.0,780,1633,0,0
2011,India-Pakistan,10.1,118,4,3323,8,6.4,0.0,5.3,1.0,3.2,6.4,3.0,18.2,82.9,408,798,613,3475
2011,India-China,0.258,248,1,3488,9,0.0,6.5,6.4,5.6,4.8,6.9,5.9,45.0,48.2,408,798,0,0
2012,India-Pakistan,10.2,121,4,3323,8,8.9,0.0,5.6,1.0,2.7,6.4,3.0,17.9,81.1,428,801,651,3583
2012,India-China,0.256,256,1,3488,9,0.0,5.6,6.8,5.7,5.5,6.7,6.0,45.0,45.1,428,801,0,0
2013,India-Pakistan,10.3,124,4,3323,8,7.4,0.0,5.9,1.0,2.9,7.8,3.0,17.6,83.5,346,702,361,2914
2013,India-China,0.254,264,1,3488,9,0.0,7.1,7.2,5.8,5.3,6.0,6.2,45.0,50.2,346,702,0,0
2014,India-Pakistan,10.4,127,4,3323,8,6.8,0.0,6.2,1.0,3.7,8.4,3.0,17.3,75.8,400,734,433,3639
2014,India-China,0.252,272,1,3488,9,0.0,6.8,7.6,5.9,5.5,7.0,6.3,45.0,44.5,400,734,0,0
2015,India-Pakistan,10.5,130,4,3323,8,6.0,0.0,6.5,1.0,3.2,8.1,3.0,17.0,81.0,321,622,285,2454
2015,India-China,0.25,280,1,3488,9,0.0,7.3,8.0,6.0,5.6,6.5,6.5,45.0,51.8,321,622,1,5
2016,India-Pakistan,10.6,133,4,3323,8,7.1,0.0,6.8,1.0,2.2,7.7,3.0,16.7,77.7,419,762,158,1100
2016,India-China,0.248,288,1,3488,9,0.0,7.3,8.4,6.1,5.9,5.7,6.7,44.5,49.5,419,762,0,0
2017,India-Pakistan,10.7,136,4,3323,8,7.5,0.0,7.1,1.0,2.0,7.5,3.0,16.4,76.2,400,847,163,960
2017,India-China,0.246,296,1,3488,9,0.0,6.8,8.8,6.2,3.5,7.2,6.8,44.0,51.9,400,847,2,6
2018,India-Pakistan,10.8,139,4,3323,8,8.4,0.0,7.4,1.0,3.3,8.1,3.0,16.1,81.3,480,952,93,483
2018,India-China,0.244,304,1,3488,9,0.0,7.3,9.2,6.3,4.4,5.3,7.0,43.5,47.0,480,952,0,0
2019,India-Pakistan,10.9,142,4,3323,8,8.8,0.0,7.7,1.0,3.6,7.3,3.0,15.8,82.2,354,734,99,293
2019,India-China,0.242,312,1,3488,9,0.0,7.7,9.6,6.4,5.8,5.9,7.1,43.0,51.4,354,734,0,0
2020,India-Pakistan,11.0,145,4,3323,8,8.9,0.0,8.0,1.0,3.0,7.0,3.0,15.5,85.5,389,754,145,409
2020,India-China,0.24,320,1,3488,9,0.0,8.9,10.0,6.5,5.1,6.6,7.2,42.5,54.8,389,754,0,0
2021,India-Pakistan,11.1,148,4,3323,8,8.1,0.0,8.3,1.0,2.0,7.0,3.0,15.2,87.7,277,521,191,452
2021,India-China,0.238,328,1,3488,9,0.0,7.9,10.4,6.6,3.5,7.3,7.4,42.0,48.5,277,521,0,0
2022,India-Pakistan,11.2,151,4,3323,8,6.8,0.0,8.6,1.0,3.0,7.8,3.0,14.9,85.1,266,393,284,719
2022,India-China,0.236,336,1,3488,9,0.0,7.9,10.8,6.7,4.1,6.4,7.5,41.5,52.4,266,393,0,0
2023,India-Pakistan,11.3,154,4,3323,8,7.4,0.0,8.9,1.0,2.9,8.3,3.0,14.6,81.9,217,406,382,1178
2023,India-China,0.234,344,1,3488,9,0.0,8.5,11.2,6.8,4.9,6.9,7.7,41.0,52.9,217,406,1,1
